,length,space,has .,has %,has percent,label
+8.4%,5,0,1,1,0,0
500 65%,7,1,0,1,0,0
3%,2,0,0,1,0,1
7%,2,0,0,1,0,1
2%,2,0,0,1,0,1
1.4%,4,0,1,1,0,0
3.2%,4,0,1,1,0,0
61%,3,0,0,1,0,1
1.2%,4,0,1,1,0,0
10 percent,10,1,0,0,1,1
0.5%,4,0,1,1,0,0
41 percent,10,1,0,0,1,1
53 percent,10,1,0,0,1,1
1.0%,4,0,1,1,0,0
0.3%,4,0,1,1,0,0
6%,2,0,0,1,0,1
0.7%,4,0,1,1,0,0
8.4%,4,0,1,1,0,0
8.7%,4,0,1,1,0,0
2.1%,4,0,1,1,0,0
2.9%,4,0,1,1,0,0
7.6%,4,0,1,1,0,0
500 0.3%,8,1,1,1,0,0
1.1%,4,0,1,1,0,0
23 percent,10,1,0,0,1,1
12.9 percent,12,1,1,0,1,1
3.4%,4,0,1,1,0,0
6.0%,4,0,1,1,0,0
around 2.55%,12,1,1,1,0,0
7.4%,4,0,1,1,0,0
2.2%,4,0,1,1,0,0
7.3%,4,0,1,1,0,0
4.46%,5,0,1,1,0,1
7.2%,4,0,1,1,0,0
1.3%,4,0,1,1,0,0
1.63%,5,0,1,1,0,1
6.8%,4,0,1,1,0,0
7.5%,4,0,1,1,0,0
1%,2,0,0,1,0,1
6.5%,4,0,1,1,0,0
20 percent,10,1,0,0,1,1
7.7%,4,0,1,1,0,0
4.29%,5,0,1,1,0,1
10.7%,5,0,1,1,0,0
5.9%,4,0,1,1,0,0
3.1%,4,0,1,1,0,0
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
roughly 1.2%,12,1,1,1,0,0
2.73%,5,0,1,1,0,1
January 6.2%,12,1,1,1,0,0
Some 61%,8,1,0,1,0,0
20%,3,0,0,1,0,1
3.64%,5,0,1,1,0,1
1 2 percent,11,2,0,0,1,0
0.1%,4,0,1,1,0,0
2.70%,5,0,1,1,0,1
2.1%,4,0,1,1,0,0
87%,3,0,0,1,0,1
7.6%,4,0,1,1,0,0
7.0%,4,0,1,1,0,0
60 percent,10,1,0,0,1,1
9%,2,0,0,1,0,1
50%,3,0,0,1,0,1
78%,3,0,0,1,0,1
4.625%,6,0,1,1,0,0
nearly 40%,10,1,0,1,0,0
27%,3,0,0,1,0,1
35% - 40%,9,2,0,1,0,0
7.6%,4,0,1,1,0,0
40%,3,0,0,1,0,1
20%,3,0,0,1,0,1
0.8%,4,0,1,1,0,0
130%,4,0,0,1,0,1
2.2%,4,0,1,1,0,0
7.3%,4,0,1,1,0,0
7.2%,4,0,1,1,0,0
1.3%,4,0,1,1,0,0
40%,3,0,0,1,0,1
1%,2,0,0,1,0,1
2.2%-2.4%,9,0,1,1,0,0
10.1%,5,0,1,1,0,0
50%,3,0,0,1,0,1
63.6%,5,0,1,1,0,0
8.1%,4,0,1,1,0,0
1.9%,4,0,1,1,0,0
1.9 percent,11,1,1,0,1,1
-1.3%,5,0,1,1,0,0
5.6%,4,0,1,1,0,0
3%,2,0,0,1,0,1
7%,2,0,0,1,0,1
2%,2,0,0,1,0,1
2.6%,4,0,1,1,0,0
49.5%,5,0,1,1,0,0
2.5%,4,0,1,1,0,0
2.3%,4,0,1,1,0,0
1.2%,4,0,1,1,0,0
10 percent,10,1,0,0,1,1
40 percent,10,1,0,0,1,1
20%,3,0,0,1,0,1
6.6%,4,0,1,1,0,0
12.8%,5,0,1,1,0,0
6.2%,4,0,1,1,0,0
2.9%,4,0,1,1,0,0
14.2%,5,0,1,1,0,0
22 percent,10,1,0,0,1,1
25 percent,10,1,0,0,1,1
9.7%,4,0,1,1,0,0
1.5%,4,0,1,1,0,0
1.6%,4,0,1,1,0,0
12%,3,0,0,1,0,1
35 percent,10,1,0,0,1,1
38%,3,0,0,1,0,1
2 percent,9,1,0,0,1,1
294%,4,0,0,1,0,0
52%,3,0,0,1,0,1
1.3%,4,0,1,1,0,0
0.9%,4,0,1,1,0,0
94%,3,0,0,1,0,1
2.7%,4,0,1,1,0,0
37 percent,10,1,0,0,1,1
3.6%,4,0,1,1,0,0
1%,2,0,0,1,0,1
60 percent,10,1,0,0,1,1
245 percent,11,1,0,0,1,0
1.75%,5,0,1,1,0,1
79%,3,0,0,1,0,1
20 percent,10,1,0,0,1,1
49 percent,10,1,0,0,1,1
3.5%-4%,7,0,1,1,0,0
111%,4,0,0,1,0,0
180%,4,0,0,1,0,1
4.8%,4,0,1,1,0,0
nearly 8 percent,16,2,0,0,1,0
75%,3,0,0,1,0,1
-0.5%,5,0,1,1,0,0
2.19%,5,0,1,1,0,1
Some 95%,8,1,0,1,0,0
37.1 percent,12,1,1,0,1,0
25%,3,0,0,1,0,1
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
80%,3,0,0,1,0,1
2.6%,4,0,1,1,0,0
48%,3,0,0,1,0,1
83 percent,10,1,0,0,1,1
3 percent,9,1,0,0,1,1
2.5%,4,0,1,1,0,0
70%,3,0,0,1,0,1
1.4%,4,0,1,1,0,0
4.00%,5,0,1,1,0,1
3.2%,4,0,1,1,0,0
12.5%,5,0,1,1,0,0
10 percent,10,1,0,0,1,1
18%,3,0,0,1,0,1
40 percent,10,1,0,0,1,1
20%,3,0,0,1,0,1
0.5%,4,0,1,1,0,0
half percent,12,1,0,0,1,1
0.6 percent,11,1,1,0,1,1
13.5%,5,0,1,1,0,0
nearly 10%,10,1,0,1,0,0
2.70%,5,0,1,1,0,1
6%,2,0,0,1,0,1
45%,3,0,0,1,0,1
0.7%,4,0,1,1,0,0
2.1%,4,0,1,1,0,0
2.9%,4,0,1,1,0,0
nearly 70%,10,1,0,1,0,0
1.1%,4,0,1,1,0,0
7.5 percent,11,1,1,0,1,1
240%,4,0,0,1,0,1
2.44%,5,0,1,1,0,1
4.9%,4,0,1,1,0,0
67 percent,10,1,0,0,1,1
22%,3,0,0,1,0,1
5.44%,5,0,1,1,0,0
3.7%,4,0,1,1,0,0
2.8%,4,0,1,1,0,0
0.8%,4,0,1,1,0,0
2.4%,4,0,1,1,0,0
16%,3,0,0,1,0,1
12%,3,0,0,1,0,1
2.63%,5,0,1,1,0,1
7.3%,4,0,1,1,0,0
294%,4,0,0,1,0,0
2.0%,4,0,1,1,0,0
0.9%,4,0,1,1,0,0
23%,3,0,0,1,0,1
2.7%,4,0,1,1,0,0
10%,3,0,0,1,0,1
50 percent,10,1,0,0,1,1
24%,3,0,0,1,0,1
1%,2,0,0,1,0,1
4 February Financial Times,26,3,0,0,0,0
4.6%,4,0,1,1,0,0
6.5%,4,0,1,1,0,0
3.0%,4,0,1,1,0,0
50%,3,0,0,1,0,1
Y-axis %,8,1,0,1,0,0
0.6%,4,0,1,1,0,0
4.0%,4,0,1,1,0,0
3.3%,4,0,1,1,0,0
1.9%,4,0,1,1,0,0
111%,4,0,0,1,0,0
12 percent,10,1,0,0,1,1
3.5%,4,0,1,1,0,0
34%,3,0,0,1,0,1
3.1%,4,0,1,1,0,0
around 2.7%,11,1,1,1,0,0
1.8%,4,0,1,1,0,0
5.6%,4,0,1,1,0,0
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
10.2%,5,0,1,1,0,0
2.6%,4,0,1,1,0,0
7%,2,0,0,1,0,1
3 percent,9,1,0,0,1,1
4.4%,4,0,1,1,0,0
83%,3,0,0,1,0,1
27%,3,0,0,1,0,1
2.3%,4,0,1,1,0,0
3.8%,4,0,1,1,0,0
7.9%,4,0,1,1,0,0
3.2%,4,0,1,1,0,0
9.3%,4,0,1,1,0,0
5.5%,4,0,1,1,0,0
1.88 percent,12,1,1,0,1,0
18%,3,0,0,1,0,1
8.9%,4,0,1,1,0,0
20%,3,0,0,1,0,1
14%,3,0,0,1,0,1
4.3%,4,0,1,1,0,0
79.9 percent,12,1,1,0,1,1
0.5%,4,0,1,1,0,0
5%,2,0,0,1,0,1
0.3%,4,0,1,1,0,0
0.7%,4,0,1,1,0,0
6%,2,0,0,1,0,1
50%-100%,8,0,0,1,0,0
1.7%,4,0,1,1,0,0
8.3%,4,0,1,1,0,0
1.1%,4,0,1,1,0,0
4%,2,0,0,1,0,1
30%,3,0,0,1,0,1
17%,3,0,0,1,0,1
22%,3,0,0,1,0,1
3-5%,4,0,0,1,0,1
3.7%,4,0,1,1,0,0
54%,3,0,0,1,0,1
4.46%,5,0,1,1,0,1
Some 22%,8,1,0,1,0,0
1.3%,4,0,1,1,0,0
144%,4,0,0,1,0,1
6.0 percent,11,1,1,0,1,1
-9.9%,5,0,1,1,0,0
6.5%,4,0,1,1,0,0
0.2%,4,0,1,1,0,0
capita least 25%,16,2,0,1,0,0
4.29%,5,0,1,1,0,1
3.5%,4,0,1,1,0,0
1.2%,4,0,1,1,0,0
2.67%,5,0,1,1,0,1
28%,3,0,0,1,0,1
0.1%,4,0,1,1,0,0
5%,2,0,0,1,0,1
6%,2,0,0,1,0,1
45%,3,0,0,1,0,1
0 1/4 percent,13,2,0,0,1,0
7.0%,4,0,1,1,0,0
Just 52%,8,1,0,1,0,0
5 12 percent,12,2,0,0,1,0
7.4%,4,0,1,1,0,0
47%,3,0,0,1,0,1
2 percent,9,1,0,0,1,1
6) Obamacare,12,1,0,0,0,0
51.8 percent,12,1,1,0,1,1
8.0%,4,0,1,1,0,0
1%,2,0,0,1,0,1
9.4%,4,0,1,1,0,0
5.8%,4,0,1,1,0,0
3.3%,4,0,1,1,0,0
3.1%,4,0,1,1,0,0
6-1/2 percent,13,1,0,0,1,1
4.75%,5,0,1,1,0,0
roughly 8%,10,1,0,1,0,0
60%,3,0,0,1,0,1
7.5 percent,11,1,1,0,1,1
5.0%,4,0,1,1,0,0
6-8%,4,0,0,1,0,0
9.7%,4,0,1,1,0,0
7.8%,4,0,1,1,0,0
12%,3,0,0,1,0,1
2.0%,4,0,1,1,0,0
39%,3,0,0,1,0,1
1.2 percent,11,1,1,0,1,1
24%,3,0,0,1,0,1
additional 1/4 1%,17,2,0,1,0,0
20 percent,10,1,0,0,1,1
36%,3,0,0,1,0,1
56%,3,0,0,1,0,1
34%,3,0,0,1,0,1
-5.2%,5,0,1,1,0,0
3.75%,5,0,1,1,0,1
13%,3,0,0,1,0,1
7%,2,0,0,1,0,1
2%,2,0,0,1,0,1
48%,3,0,0,1,0,1
64.7 percent,12,1,1,0,1,1
0.6 point,9,1,1,0,0,0
1/4 1%,6,1,0,1,0,0
0.08%,5,0,1,1,0,1
5.5%,4,0,1,1,0,0
40 percent,10,1,0,0,1,1
4-6%,4,0,0,1,0,0
6.2%,4,0,1,1,0,0
6.3 percent,11,1,1,0,1,1
6.9%,4,0,1,1,0,0
3.35%,5,0,1,1,0,1
6.0%,4,0,1,1,0,0
1998 13%,8,1,0,1,0,0
2.63%,5,0,1,1,0,1
16 percent,10,1,0,0,1,1
52%,3,0,0,1,0,1
5/8 1%,6,1,0,1,0,0
7.5%,4,0,1,1,0,0
10%,3,0,0,1,0,1
12.6 percent,12,1,1,0,1,1
0.25 percent,12,1,1,0,1,1
4.6%,4,0,1,1,0,0
4.5%,4,0,1,1,0,0
31.7%,5,0,1,1,0,0
9%,2,0,0,1,0,1
5 percent,9,1,0,0,1,1
About 7.8 percent,17,2,1,0,1,0
100%,4,0,0,1,0,1
4.125%,6,0,1,1,0,0
8.2%,4,0,1,1,0,0
7.6 percent,11,1,1,0,1,1
29%,3,0,0,1,0,1
0.5%,4,0,1,1,0,0
15.2%,5,0,1,1,0,0
90 percent,10,1,0,0,1,1
0.7%,4,0,1,1,0,0
83.9 percent,12,1,1,0,1,1
10 20%,6,1,0,1,0,0
2.4%,4,0,1,1,0,0
2.2 percent,11,1,1,0,1,1
16%,3,0,0,1,0,1
7.4%,4,0,1,1,0,0
2.2%,4,0,1,1,0,0
nearly 28%,10,1,0,1,0,0
26%,3,0,0,1,0,1
0.9%,4,0,1,1,0,0
4.51%,5,0,1,1,0,1
7.5%,4,0,1,1,0,0
8.0%,4,0,1,1,0,0
10%,3,0,0,1,0,1
0.4%,4,0,1,1,0,0
9.5%,4,0,1,1,0,0
6.5%,4,0,1,1,0,0
nearly 14%,10,1,0,1,0,0
26.9%,5,0,1,1,0,0
0.6%,4,0,1,1,0,0
7.7%,4,0,1,1,0,0
19.5%,5,0,1,1,0,0
9.2%,4,0,1,1,0,0
100%,4,0,0,1,0,1
99%,3,0,0,1,0,1
40 1.0%,7,1,1,1,0,0
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
10.2%,5,0,1,1,0,0
2.6%,4,0,1,1,0,0
7%,2,0,0,1,0,1
4.4%,4,0,1,1,0,0
26.8%,5,0,1,1,0,0
4.55%,5,0,1,1,0,1
2.3%,4,0,1,1,0,0
3.2%,4,0,1,1,0,0
11 percent,10,1,0,0,1,1
85 percent,10,1,0,0,1,1
7 percent,9,1,0,0,1,1
9.3%,4,0,1,1,0,0
1.2%,4,0,1,1,0,0
42 percent,10,1,0,0,1,1
20%,3,0,0,1,0,1
46.8%,5,0,1,1,0,0
23.1%,5,0,1,1,0,0
27.3%,5,0,1,1,0,0
1.0%,4,0,1,1,0,0
0.1%,4,0,1,1,0,0
9.1%,4,0,1,1,0,0
13.5%,5,0,1,1,0,0
7.4-7.5%,8,0,1,1,0,0
100 1.0%,8,1,1,1,0,0
0.7%,4,0,1,1,0,0
1.7%,4,0,1,1,0,0
7.6%,4,0,1,1,0,0
4%,2,0,0,1,0,1
30%,3,0,0,1,0,1
16.6%,5,0,1,1,0,0
97%,3,0,0,1,0,1
45 percent,10,1,0,0,1,1
nearly 50%,10,1,0,1,0,0
54%,3,0,0,1,0,1
6.5 percent,11,1,1,0,1,1
7.8%,4,0,1,1,0,0
1.6%,4,0,1,1,0,0
35%,3,0,0,1,0,1
47%,3,0,0,1,0,1
3.46 percent,12,1,1,0,1,1
7.24%,5,0,1,1,0,1
1 percent,9,1,0,0,1,1
7.3%,4,0,1,1,0,0
0.9%,4,0,1,1,0,0
5-10%,5,0,0,1,0,0
7.5%,4,0,1,1,0,0
40%,3,0,0,1,0,1
1%,2,0,0,1,0,1
6.5%,4,0,1,1,0,0
3.0%,4,0,1,1,0,0
64 percent,10,1,0,0,1,1
-6.5%,5,0,1,1,0,0
3.91 percent,12,1,1,0,1,1
3 - 7%,6,2,0,1,0,0
90%,3,0,0,1,0,1
20 percent,10,1,0,0,1,1
7.7%,4,0,1,1,0,0
3.3%,4,0,1,1,0,0
4.8%,4,0,1,1,0,0
49%,3,0,0,1,0,1
34%,3,0,0,1,0,1
88 percent,10,1,0,0,1,1
43%,3,0,0,1,0,1
75%,3,0,0,1,0,1
13%,3,0,0,1,0,1
7%,2,0,0,1,0,1
46%,3,0,0,1,0,1
80%,3,0,0,1,0,1
2%,2,0,0,1,0,1
53%,3,0,0,1,0,1
1.4%,4,0,1,1,0,0
70%,3,0,0,1,0,1
around 63.5%,12,1,1,1,0,0
3%,2,0,0,1,0,1
3 percent,9,1,0,0,1,1
83%,3,0,0,1,0,1
2.3%,4,0,1,1,0,0
10 percent,10,1,0,0,1,1
42.6 percent,12,1,1,0,1,1
6.5-7.0%,8,0,1,1,0,0
27.7 percent,12,1,1,0,1,1
0.7%,4,0,1,1,0,0
45%,3,0,0,1,0,1
60%,3,0,0,1,0,1
earlier 3.48 percent,20,2,1,0,1,0
5.0-6.0%,8,0,1,1,0,0
4.58 percent,12,1,1,0,1,1
2.9%,4,0,1,1,0,0
7.6%,4,0,1,1,0,0
54 percent,10,1,0,0,1,1
4%,2,0,0,1,0,1
55%,3,0,0,1,0,1
22 percent,10,1,0,0,1,1
7.0%,4,0,1,1,0,0
17%,3,0,0,1,0,1
0.8%,4,0,1,1,0,0
1.8%,4,0,1,1,0,0
3%,2,0,0,1,0,1
8.6 percent,11,1,1,0,1,1
7.2%,4,0,1,1,0,0
9 percent,9,1,0,0,1,1
8%,2,0,0,1,0,1
0.5%,4,0,1,1,0,0
1%,2,0,0,1,0,1
3.4%,4,0,1,1,0,0
10.8%,5,0,1,1,0,0
32%,3,0,0,1,0,1
2.4%,4,0,1,1,0,0
6.1%,4,0,1,1,0,0
1.47%,5,0,1,1,0,1
6.3%,4,0,1,1,0,0
4.46%,5,0,1,1,0,1
20.2%,5,0,1,1,0,0
7.5%,4,0,1,1,0,0
10%,3,0,0,1,0,1
11.7%,5,0,1,1,0,0
1%,2,0,0,1,0,1
4.5%,4,0,1,1,0,0
5 percent,9,1,0,0,1,1
4.0%,4,0,1,1,0,0
7.7%,4,0,1,1,0,0
20.1%,5,0,1,1,0,0
12.6%,5,0,1,1,0,0
13.8%,5,0,1,1,0,0
1.8%,4,0,1,1,0,0
12.9%,5,0,1,1,0,0
7%,2,0,0,1,0,1
2%,2,0,0,1,0,1
0.375%,6,0,1,1,0,0
0.11%,5,0,1,1,0,1
2.5%,4,0,1,1,0,0
70%,3,0,0,1,0,1
3 percent,9,1,0,0,1,1
16.5%,5,0,1,1,0,0
around 4.375%,13,1,1,1,0,0
24.2%,5,0,1,1,0,0
-0.69%,6,0,1,1,0,0
85 percent,10,1,0,0,1,1
9.3%,4,0,1,1,0,0
0.5%,4,0,1,1,0,0
8.9%,4,0,1,1,0,0
20%,3,0,0,1,0,1
15.2%,5,0,1,1,0,0
14%,3,0,0,1,0,1
2.75%,5,0,1,1,0,1
6.8 percent,11,1,1,0,1,1
9.1%,4,0,1,1,0,0
12.1%,5,0,1,1,0,0
6%,2,0,0,1,0,1
19.4%,5,0,1,1,0,0
5.1%,4,0,1,1,0,0
1.7%,4,0,1,1,0,0
15.7%,5,0,1,1,0,0
7.6%,4,0,1,1,0,0
12.7%,5,0,1,1,0,0
4%,2,0,0,1,0,1
30%,3,0,0,1,0,1
around 2 percent,16,2,0,0,1,0
13.3%,5,0,1,1,0,0
almost 19 percent,17,2,0,0,1,0
17%,3,0,0,1,0,1
10.5%,5,0,1,1,0,0
22%,3,0,0,1,0,1
1.5%,4,0,1,1,0,0
62%,3,0,0,1,0,1
1.6%,4,0,1,1,0,0
26%,3,0,0,1,0,1
1.3%,4,0,1,1,0,0
11.7%,5,0,1,1,0,0
6.5%,4,0,1,1,0,0
0.2%,4,0,1,1,0,0
Q1 8%,5,1,0,1,0,0
7.7%,4,0,1,1,0,0
less 4%,7,1,0,1,0,0
0%,2,0,0,1,0,1
28.29%,6,0,1,1,0,0
12.2%,5,0,1,1,0,0
28%,3,0,0,1,0,1
20%,3,0,0,1,0,1
19%,3,0,0,1,0,1
0.1%,4,0,1,1,0,0
5%,2,0,0,1,0,1
6%,2,0,0,1,0,1
24 percent,10,1,0,0,1,1
7.86%,5,0,1,1,0,0
13.3%,5,0,1,1,0,0
0.13%,5,0,1,1,0,1
0.8%,4,0,1,1,0,0
3.4%,4,0,1,1,0,0
Twenty-five percent,19,1,0,0,1,0
16%,3,0,0,1,0,1
2.2%,4,0,1,1,0,0
4.2%,4,0,1,1,0,0
"100,000 9.9%",12,1,1,1,0,0
1.74%,5,0,1,1,0,1
6.8%,4,0,1,1,0,0
1%,2,0,0,1,0,1
10.1%,5,0,1,1,0,0
15%,3,0,0,1,0,1
6.75%,5,0,1,1,0,1
57%,3,0,0,1,0,1
11%,3,0,0,1,0,1
roughly less 5%,15,2,0,1,0,0
18%,3,0,0,1,0,1
0.94%,5,0,1,1,0,1
4.3%,4,0,1,1,0,0
5.4 percent,11,1,1,0,1,1
60%,3,0,0,1,0,1
1.88%,5,0,1,1,0,1
1.7%,4,0,1,1,0,0
63%,3,0,0,1,0,1
12%,3,0,0,1,0,1
14.5%,5,0,1,1,0,0
8 percent,9,1,0,0,1,1
68%,3,0,0,1,0,1
0.49%,5,0,1,1,0,1
1.59%,5,0,1,1,0,1
9.6%,4,0,1,1,0,0
50%,3,0,0,1,0,1
less 1.0%,9,1,1,1,0,0
8.1%,4,0,1,1,0,0
21%,3,0,0,1,0,1
34%,3,0,0,1,0,1
4.1 percent,11,1,1,0,1,1
27 percent,10,1,0,0,1,1
less 1%,7,1,0,1,0,0
13%,3,0,0,1,0,1
3%,2,0,0,1,0,1
2%,2,0,0,1,0,1
7%,2,0,0,1,0,1
1.4%,4,0,1,1,0,0
58%,3,0,0,1,0,1
14%,3,0,0,1,0,1
1.0%,4,0,1,1,0,0
6.2%,4,0,1,1,0,0
8%,2,0,0,1,0,1
30%,3,0,0,1,0,1
6.9%,4,0,1,1,0,0
17%,3,0,0,1,0,1
35%,3,0,0,1,0,1
around 9.5%,11,1,1,1,0,0
0.9%,4,0,1,1,0,0
23%,3,0,0,1,0,1
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
3.6%,4,0,1,1,0,0
0.4%,4,0,1,1,0,0
6.4%,4,0,1,1,0,0
7.5%,4,0,1,1,0,0
3.0%,4,0,1,1,0,0
9%,2,0,0,1,0,1
5 percent,9,1,0,0,1,1
Roughly 80%,11,1,0,1,0,0
0.6%,4,0,1,1,0,0
1.9%,4,0,1,1,0,0
66%,3,0,0,1,0,1
42%,3,0,0,1,0,1
86%,3,0,0,1,0,1
100%,4,0,0,1,0,1
nearly 5%,9,1,0,1,0,0
12.9%,5,0,1,1,0,0
29%,3,0,0,1,0,1
approximately 60%,17,1,0,1,0,0
0.5%,4,0,1,1,0,0
12.1%,5,0,1,1,0,0
0.7%,4,0,1,1,0,0
approximately 7%,16,1,0,1,0,0
10.0%,5,0,1,1,0,0
25%,3,0,0,1,0,1
4%,2,0,0,1,0,1
7.6%,4,0,1,1,0,0
31%,3,0,0,1,0,1
roughly 2.5%,12,1,1,1,0,0
12.3%,5,0,1,1,0,0
1.0 percent,11,1,1,0,1,1
1.5%,4,0,1,1,0,0
1.6%,4,0,1,1,0,0
1.3%,4,0,1,1,0,0
-3%,3,0,0,1,0,0
6.5%,4,0,1,1,0,0
67%,3,0,0,1,0,1
0.2%,4,0,1,1,0,0
0.3 percent,11,1,1,0,1,1
0%,2,0,0,1,0,1
27%,3,0,0,1,0,1
0.1 percent,11,1,1,0,1,1
approximately 2%,16,1,0,1,0,0
0.4 percent,11,1,1,0,1,1
5%,2,0,0,1,0,1
0.1%,4,0,1,1,0,0
About 70%,9,1,0,1,0,0
6%,2,0,0,1,0,1
46 percent,10,1,0,0,1,1
45%,3,0,0,1,0,1
30.4%,5,0,1,1,0,0
13.5%,5,0,1,1,0,0
12.7%,5,0,1,1,0,0
2.52%,5,0,1,1,0,1
0.8%,4,0,1,1,0,0
3.4%,4,0,1,1,0,0
32%,3,0,0,1,0,1
5.2 percent,11,1,1,0,1,1
16%,3,0,0,1,0,1
4.9 percent,11,1,1,0,1,1
2.2%,4,0,1,1,0,0
2 percent,9,1,0,0,1,1
28.7%,5,0,1,1,0,0
50 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
0.2 percent,11,1,1,0,1,1
49.3%,5,0,1,1,0,0
11%,3,0,0,1,0,1
5.50%,5,0,1,1,0,1
1.8%,4,0,1,1,0,0
34.4%,5,0,1,1,0,0
10.2%,5,0,1,1,0,0
14.3 percent,12,1,1,0,1,1
2.3 percent,11,1,1,0,1,1
11 percent,10,1,0,0,1,1
2.1 percent,11,1,1,0,1,1
11.5%,5,0,1,1,0,0
1.4 percent,11,1,1,0,1,1
7.5 percent,11,1,1,0,1,1
2.9%,4,0,1,1,0,0
About 40%,9,1,0,1,0,0
10.5%,5,0,1,1,0,0
2.4%,4,0,1,1,0,0
12%,3,0,0,1,0,1
77.6%,5,0,1,1,0,0
7.2 percent,11,1,1,0,1,1
2.53%,5,0,1,1,0,1
1.2 percent,11,1,1,0,1,1
margin 14.8%,12,1,1,1,0,0
5.6 percent,11,1,1,0,1,1
8.5%,4,0,1,1,0,0
2.76%,5,0,1,1,0,1
56%,3,0,0,1,0,1
34%,3,0,0,1,0,1
89.9%,5,0,1,1,0,0
4.1 percent,11,1,1,0,1,1
3 1/2 percent,13,2,0,0,1,0
1.7 percent,11,1,1,0,1,1
8.3 percent,11,1,1,0,1,1
77.8%,5,0,1,1,0,0
22.5%,5,0,1,1,0,0
2.38%,5,0,1,1,0,1
2%,2,0,0,1,0,1
3%,2,0,0,1,0,1
7%,2,0,0,1,0,1
1.4%,4,0,1,1,0,0
1-2%,4,0,0,1,0,1
14.4%,5,0,1,1,0,0
0.9 percent,11,1,1,0,1,1
around 1.2%,11,1,1,1,0,0
14%,3,0,0,1,0,1
33.0%,5,0,1,1,0,0
0.3%,4,0,1,1,0,0
6.2%,4,0,1,1,0,0
2.1%,4,0,1,1,0,0
1.3 percent,11,1,1,0,1,1
8%,2,0,0,1,0,1
14.3%,5,0,1,1,0,0
1.6 percent,11,1,1,0,1,1
less 30%,8,1,0,1,0,0
2.2 percent,11,1,1,0,1,1
6 percent,9,1,0,0,1,1
35%,3,0,0,1,0,1
1 percent,9,1,0,0,1,1
0.9%,4,0,1,1,0,0
23%,3,0,0,1,0,1
10%,3,0,0,1,0,1
3.0%,4,0,1,1,0,0
6.4 percent,11,1,1,0,1,1
9%,2,0,0,1,0,1
4.0%,4,0,1,1,0,0
1.1 percent,11,1,1,0,1,1
0.8 percent,11,1,1,0,1,1
2-3%,4,0,0,1,0,1
1.97%,5,0,1,1,0,0
10.25%,6,0,1,1,0,1
2 12 percent,12,2,0,0,1,0
29%,3,0,0,1,0,1
0.5%,4,0,1,1,0,0
3.4 percent,11,1,1,0,1,1
0.6 percent,11,1,1,0,1,1
decrease 2.9 percent,20,2,1,0,1,0
44.0%,5,0,1,1,0,0
0.7%,4,0,1,1,0,0
0.5 percent,11,1,1,0,1,1
25%,3,0,0,1,0,1
4%,2,0,0,1,0,1
15.6%,5,0,1,1,0,0
73.7%,5,0,1,1,0,0
43.0%,5,0,1,1,0,0
22%,3,0,0,1,0,1
1.0 percent,11,1,1,0,1,1
1.5%,4,0,1,1,0,0
45.6 percent,12,1,1,0,1,0
26%,3,0,0,1,0,1
18 percent,10,1,0,0,1,1
", least 70 percent",18,3,0,0,1,0
10.3%,5,0,1,1,0,0
1.9 percent,11,1,1,0,1,1
2 1.8 percent,13,2,1,0,1,0
a469%,5,0,0,1,0,0
38 percent,10,1,0,0,1,1
12.2%,5,0,1,1,0,0
3 percent,9,1,0,0,1,1
61%,3,0,0,1,0,1
5%,2,0,0,1,0,1
46 percent,10,1,0,0,1,1
26.2%,5,0,1,1,0,0
6%,2,0,0,1,0,1
24 percent,10,1,0,0,1,1
15.7 percent,12,1,1,0,1,1
22 percent,10,1,0,0,1,1
0.8%,4,0,1,1,0,0
2 percent,9,1,0,0,1,1
58 percent,10,1,0,0,1,1
roughly 5 percent,17,2,0,0,1,0
50 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
nearly 20 percent,17,2,0,0,1,0
zero percent,12,1,0,0,1,1
15 percent,10,1,0,0,1,1
2000 17%,8,1,0,1,0,0
11%,3,0,0,1,0,1
0.7 percent,11,1,1,0,1,1
2.55%,5,0,1,1,0,1
Only 3%,7,1,0,1,0,0
6-1/2 percent,13,1,0,0,1,1
31 percent,10,1,0,0,1,1
7 percent,9,1,0,0,1,1
0.68%,5,0,1,1,0,1
52 percent,10,1,0,0,1,1
73.4 percent,12,1,1,0,1,0
60%,3,0,0,1,0,1
5.0%,4,0,1,1,0,0
9.9%,4,0,1,1,0,0
FN 4%,5,1,0,1,0,0
12%,3,0,0,1,0,1
69%,3,0,0,1,0,1
3.91%,5,0,1,1,0,1
8 percent,9,1,0,0,1,1
50%,3,0,0,1,0,1
15.3 percent,12,1,1,0,1,1
7.8 percent,11,1,1,0,1,1
nearly 8 percent,16,2,0,0,1,0
15.4 percent,12,1,1,0,1,1
1.8 percent,11,1,1,0,1,1
1.7 percent,11,1,1,0,1,1
FNMA 4%,7,1,0,1,0,0
7%,2,0,0,1,0,1
4.7 percent,11,1,1,0,1,1
2%,2,0,0,1,0,1
3%,2,0,0,1,0,1
28 percent,10,1,0,0,1,1
